sku_id,item_id,category,department,store_id,state_id,launch_date,first_sale_date,last_sale_date,sku_age_days,days_since_last_sale,avg_price,max_observed_price,estimated_unit_cost,estimated_gross_margin,sku_status
FOODS_1_004_WI_3,FOODS_1_004,FOODS,FOODS_1,WI_3,WI,2012-03-03,2012-03-08,2016-02-04,1513,80,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_005_CA_1,FOODS_1_005,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,3.33,3.54,2.48,1.06,Active
FOODS_1_005_CA_2,FOODS_1_005,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,3.33,3.54,2.48,1.06,Active
FOODS_1_005_CA_3,FOODS_1_005,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,3.27,3.54,2.48,1.06,Active
FOODS_1_005_CA_4,FOODS_1_005,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,3.33,3.54,2.48,1.06,Active
FOODS_1_005_TX_1,FOODS_1_005,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-01-29,2016-04-23,1912,1,3.33,3.54,2.48,1.06,Active
FOODS_1_005_TX_2,FOODS_1_005,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-29,2016-04-24,1912,0,3.32,3.54,2.48,1.06,Active
FOODS_1_005_TX_3,FOODS_1_005,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-29,2016-04-24,1912,0,3.33,3.54,2.48,1.06,Active
FOODS_1_005_WI_1,FOODS_1_005,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-29,2016-04-24,1912,0,3.33,3.54,2.48,1.06,Active
FOODS_1_005_WI_2,FOODS_1_005,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-29,2016-04-23,1912,1,3.36,3.54,2.48,1.06,Active
FOODS_1_005_WI_3,FOODS_1_005,FOODS,FOODS_1,WI_3,WI,2011-02-19,2011-02-22,2016-04-24,1891,0,3.34,3.54,2.48,1.06,Active
FOODS_1_006_CA_1,FOODS_1_006,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-31,2016-04-24,1912,0,2.22,2.48,1.74,0.74,Active
FOODS_1_006_CA_2,FOODS_1_006,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.22,2.48,1.74,0.74,Active
FOODS_1_006_CA_3,FOODS_1_006,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-02-02,2016-04-20,1912,4,2.22,2.48,1.74,0.74,Active
FOODS_1_006_CA_4,FOODS_1_006,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.22,2.48,1.74,0.74,Active
FOODS_1_006_TX_1,FOODS_1_006,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-01-29,2016-04-23,1912,1,2.22,2.48,1.74,0.74,Active
FOODS_1_006_TX_2,FOODS_1_006,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-29,2016-04-22,1912,2,2.22,2.48,1.74,0.74,Active
FOODS_1_006_TX_3,FOODS_1_006,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-29,2016-04-24,1912,0,2.22,2.48,1.74,0.74,Active
FOODS_1_006_WI_1,FOODS_1_006,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-29,2016-04-24,1912,0,2.22,2.48,1.74,0.74,Active
FOODS_1_006_WI_2,FOODS_1_006,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-29,2016-04-23,1912,1,2.22,2.48,1.74,0.74,Active
FOODS_1_006_WI_3,FOODS_1_006,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-01-31,2016-04-22,1912,2,2.22,2.48,1.74,0.74,Active
FOODS_1_008_CA_1,FOODS_1_008,FOODS,FOODS_1,CA_1,CA,2011-10-15,2011-10-19,2016-04-16,1653,8,3.38,3.54,2.48,1.06,Active
FOODS_1_008_CA_2,FOODS_1_008,FOODS,FOODS_1,CA_2,CA,2012-01-28,2012-02-03,2016-04-24,1548,0,3.36,3.54,2.48,1.06,Active
FOODS_1_008_CA_3,FOODS_1_008,FOODS,FOODS_1,CA_3,CA,2012-08-04,2012-08-09,2016-04-16,1359,8,3.33,3.54,2.48,1.06,Active
FOODS_1_008_CA_4,FOODS_1_008,FOODS,FOODS_1,CA_4,CA,2011-10-15,2011-10-20,2016-04-24,1653,0,3.35,3.54,2.48,1.06,Active
FOODS_1_008_TX_1,FOODS_1_008,FOODS,FOODS_1,TX_1,TX,2011-11-05,2011-11-09,2016-04-14,1632,10,3.35,3.54,2.48,1.06,Active
FOODS_1_008_TX_2,FOODS_1_008,FOODS,FOODS_1,TX_2,TX,2012-02-11,2012-02-13,2016-04-20,1534,4,3.39,3.54,2.48,1.06,Active
FOODS_1_008_TX_3,FOODS_1_008,FOODS,FOODS_1,TX_3,TX,2012-03-31,2012-03-31,2016-04-21,1485,3,3.32,3.54,2.48,1.06,Active
FOODS_1_008_WI_1,FOODS_1_008,FOODS,FOODS_1,WI_1,WI,2011-10-22,2011-10-25,2016-04-22,1646,2,3.35,3.54,2.48,1.06,Active
FOODS_1_008_WI_2,FOODS_1_008,FOODS,FOODS_1,WI_2,WI,2011-11-12,2011-11-12,2016-04-24,1625,0,3.35,3.54,2.48,1.06,Active
FOODS_1_008_WI_3,FOODS_1_008,FOODS,FOODS_1,WI_3,WI,2012-01-14,2012-01-14,2016-04-18,1562,6,3.35,3.54,2.48,1.06,Active
FOODS_1_009_CA_1,FOODS_1_009,FOODS,FOODS_1,CA_1,CA,2012-03-03,2012-03-09,2016-02-04,1513,80,2.4,2.68,1.88,0.8,Slow Moving
FOODS_1_009_CA_2,FOODS_1_009,FOODS,FOODS_1,CA_2,CA,2012-03-03,2012-03-08,2016-02-03,1513,81,2.4,2.68,1.88,0.8,Slow Moving
FOODS_1_009_CA_3,FOODS_1_009,FOODS,FOODS_1,CA_3,CA,2012-03-03,2012-03-04,2016-03-20,1513,35,2.32,2.68,1.88,0.8,Slow Moving
FOODS_1_009_CA_4,FOODS_1_009,FOODS,FOODS_1,CA_4,CA,2012-03-03,2012-03-06,2016-02-01,1513,83,2.4,2.68,1.88,0.8,Slow Moving
FOODS_1_009_TX_1,FOODS_1_009,FOODS,FOODS_1,TX_1,TX,2012-03-10,2012-03-14,2016-02-05,1506,79,2.38,2.68,1.88,0.8,Slow Moving
FOODS_1_009_TX_2,FOODS_1_009,FOODS,FOODS_1,TX_2,TX,2012-03-17,2012-03-21,2016-02-02,1499,82,2.38,2.68,1.88,0.8,Slow Moving
FOODS_1_009_TX_3,FOODS_1_009,FOODS,FOODS_1,TX_3,TX,2012-03-10,2012-03-16,2016-02-03,1506,81,2.39,2.68,1.88,0.8,Slow Moving
FOODS_1_009_WI_1,FOODS_1_009,FOODS,FOODS_1,WI_1,WI,2012-03-10,2012-03-10,2016-02-02,1506,82,2.39,2.68,1.88,0.8,Slow Moving
FOODS_1_009_WI_2,FOODS_1_009,FOODS,FOODS_1,WI_2,WI,2012-03-10,2012-03-11,2016-02-06,1506,78,2.42,2.68,1.88,0.8,Slow Moving
FOODS_1_009_WI_3,FOODS_1_009,FOODS,FOODS_1,WI_3,WI,2012-03-17,2012-03-17,2016-04-24,1499,0,2.4,2.68,1.88,0.8,Active
FOODS_1_010_CA_1,FOODS_1_010,FOODS,FOODS_1,CA_1,CA,2012-05-26,2012-06-01,2016-04-23,1429,1,5.37,5.64,3.95,1.69,Active
FOODS_1_010_CA_2,FOODS_1_010,FOODS,FOODS_1,CA_2,CA,2011-07-30,2011-08-02,2016-04-18,1730,6,5.49,6.08,4.26,1.82,Active
FOODS_1_010_CA_3,FOODS_1_010,FOODS,FOODS_1,CA_3,CA,2011-07-30,2011-07-31,2016-04-24,1730,0,5.56,6.08,4.26,1.82,Active
FOODS_1_010_CA_4,FOODS_1_010,FOODS,FOODS_1,CA_4,CA,2011-07-30,2011-07-31,2016-04-24,1730,0,5.5,6.08,4.26,1.82,Active
FOODS_1_010_TX_1,FOODS_1_010,FOODS,FOODS_1,TX_1,TX,2011-04-30,2011-05-04,2016-04-21,1821,3,6.01,6.71,4.7,2.01,Active
FOODS_1_010_TX_2,FOODS_1_010,FOODS,FOODS_1,TX_2,TX,2011-06-04,2011-06-05,2016-04-24,1786,0,5.94,6.27,4.39,1.88,Active
FOODS_1_010_TX_3,FOODS_1_010,FOODS,FOODS_1,TX_3,TX,2011-04-30,2011-05-01,2016-04-22,1821,2,5.95,6.71,4.7,2.01,Active
FOODS_1_010_WI_1,FOODS_1_010,FOODS,FOODS_1,WI_1,WI,2012-06-30,2012-07-01,2016-04-24,1394,0,6.97,7.27,5.09,2.18,Active
FOODS_1_010_WI_2,FOODS_1_010,FOODS,FOODS_1,WI_2,WI,2012-06-30,2012-07-05,2016-04-14,1394,10,6.97,7.27,5.09,2.18,Active
FOODS_1_010_WI_3,FOODS_1_010,FOODS,FOODS_1,WI_3,WI,2013-04-20,2013-04-26,2016-04-24,1100,0,7.01,7.27,5.09,2.18,Active
FOODS_1_011_CA_1,FOODS_1_011,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.52,2.68,1.88,0.8,Active
FOODS_1_011_CA_2,FOODS_1_011,FOODS,FOODS_1,CA_2,CA,2011-04-02,2011-04-02,2016-04-24,1849,0,2.53,2.68,1.88,0.8,Active
FOODS_1_011_CA_3,FOODS_1_011,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.48,2.68,1.88,0.8,Active
FOODS_1_011_CA_4,FOODS_1_011,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.52,2.68,1.88,0.8,Active
FOODS_1_011_TX_1,FOODS_1_011,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-01-29,2016-04-24,1912,0,2.52,2.68,1.88,0.8,Active
FOODS_1_011_TX_2,FOODS_1_011,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-31,2016-04-22,1912,2,2.52,2.68,1.88,0.8,Active
FOODS_1_011_TX_3,FOODS_1_011,FOODS,FOODS_1,TX_3,TX,2011-02-12,2011-02-14,2016-04-20,1898,4,2.52,2.68,1.88,0.8,Active
FOODS_1_011_WI_1,FOODS_1_011,FOODS,FOODS_1,WI_1,WI,2011-04-02,2011-04-04,2016-04-23,1849,1,2.53,2.68,1.88,0.8,Active
FOODS_1_011_WI_2,FOODS_1_011,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-31,2016-04-23,1912,1,2.52,2.68,1.88,0.8,Active
FOODS_1_011_WI_3,FOODS_1_011,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-01-29,2016-04-20,1912,4,2.52,2.68,1.88,0.8,Active
FOODS_1_012_CA_1,FOODS_1_012,FOODS,FOODS_1,CA_1,CA,2011-07-30,2011-07-31,2016-04-24,1730,0,5.5,6.08,4.26,1.82,Active
FOODS_1_012_CA_2,FOODS_1_012,FOODS,FOODS_1,CA_2,CA,2011-07-30,2011-07-31,2016-04-24,1730,0,5.5,6.08,4.26,1.82,Active
FOODS_1_012_CA_3,FOODS_1_012,FOODS,FOODS_1,CA_3,CA,2011-07-30,2011-07-31,2016-04-13,1730,11,5.5,6.08,4.26,1.82,Active
FOODS_1_012_CA_4,FOODS_1_012,FOODS,FOODS_1,CA_4,CA,2011-07-30,2011-07-31,2016-04-24,1730,0,5.5,6.08,4.26,1.82,Active
FOODS_1_012_TX_1,FOODS_1_012,FOODS,FOODS_1,TX_1,TX,2011-04-30,2011-05-01,2016-04-24,1821,0,5.97,6.71,4.7,2.01,Active
FOODS_1_012_TX_2,FOODS_1_012,FOODS,FOODS_1,TX_2,TX,2011-04-30,2011-05-01,2016-04-24,1821,0,5.96,6.71,4.7,2.01,Active
FOODS_1_012_TX_3,FOODS_1_012,FOODS,FOODS_1,TX_3,TX,2011-04-30,2011-05-01,2016-04-24,1821,0,5.96,6.71,4.7,2.01,Active
FOODS_1_012_WI_1,FOODS_1_012,FOODS,FOODS_1,WI_1,WI,2011-07-30,2011-07-31,2016-04-24,1730,0,7.23,8.22,5.75,2.47,Active
FOODS_1_012_WI_2,FOODS_1_012,FOODS,FOODS_1,WI_2,WI,2011-07-30,2011-08-01,2016-04-24,1730,0,7.24,8.22,5.75,2.47,Active
FOODS_1_012_WI_3,FOODS_1_012,FOODS,FOODS_1,WI_3,WI,2011-07-30,2011-07-31,2016-04-23,1730,1,7.23,8.22,5.75,2.47,Active
FOODS_1_013_CA_1,FOODS_1_013,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,1.47,1.5,1.05,0.45,Active
FOODS_1_013_CA_2,FOODS_1_013,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-22,1912,2,1.47,1.5,1.05,0.45,Active
FOODS_1_013_CA_3,FOODS_1_013,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,1.47,1.5,1.05,0.45,Active
FOODS_1_013_CA_4,FOODS_1_013,FOODS,FOODS_1,CA_4,CA,2012-03-03,2012-03-08,2016-04-21,1513,3,1.49,1.5,1.05,0.45,Active
FOODS_1_013_TX_1,FOODS_1_013,FOODS,FOODS_1,TX_1,TX,2011-02-05,2011-02-06,2016-04-24,1905,0,1.47,1.5,1.05,0.45,Active
FOODS_1_013_TX_2,FOODS_1_013,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-29,2016-04-24,1912,0,1.47,1.5,1.05,0.45,Active
FOODS_1_013_TX_3,FOODS_1_013,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-31,2016-04-24,1912,0,1.47,1.5,1.05,0.45,Active
FOODS_1_013_WI_1,FOODS_1_013,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-02-03,2016-04-23,1912,1,1.47,1.5,1.05,0.45,Active
FOODS_1_013_WI_2,FOODS_1_013,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-31,2016-04-24,1912,0,1.47,1.5,1.05,0.45,Active
FOODS_1_013_WI_3,FOODS_1_013,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-01-29,2016-04-24,1912,0,1.47,1.5,1.05,0.45,Active
FOODS_1_014_CA_1,FOODS_1_014,FOODS,FOODS_1,CA_1,CA,2013-05-18,2013-05-23,2016-04-24,1072,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_CA_2,FOODS_1_014,FOODS,FOODS_1,CA_2,CA,2013-05-18,2013-05-22,2016-04-24,1072,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_CA_3,FOODS_1_014,FOODS,FOODS_1,CA_3,CA,2013-05-18,2013-05-21,2016-04-24,1072,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_CA_4,FOODS_1_014,FOODS,FOODS_1,CA_4,CA,2014-03-08,2014-03-13,2016-04-24,778,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_TX_1,FOODS_1_014,FOODS,FOODS_1,TX_1,TX,2012-07-07,2012-07-10,2016-04-24,1387,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_TX_2,FOODS_1_014,FOODS,FOODS_1,TX_2,TX,2012-06-30,2012-07-06,2016-04-24,1394,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_TX_3,FOODS_1_014,FOODS,FOODS_1,TX_3,TX,2012-07-07,2012-07-10,2016-04-24,1387,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_WI_1,FOODS_1_014,FOODS,FOODS_1,WI_1,WI,2012-07-21,2012-07-21,2016-04-24,1373,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_WI_2,FOODS_1_014,FOODS,FOODS_1,WI_2,WI,2012-07-28,2012-07-30,2016-04-24,1366,0,0.98,0.98,0.69,0.29,Active
FOODS_1_014_WI_3,FOODS_1_014,FOODS,FOODS_1,WI_3,WI,2012-07-21,2012-07-21,2016-04-24,1373,0,0.98,0.98,0.69,0.29,Active
FOODS_1_015_CA_1,FOODS_1_015,FOODS,FOODS_1,CA_1,CA,2011-02-12,2011-02-15,2016-04-23,1898,1,3.21,3.48,2.44,1.04,Active
FOODS_1_015_CA_2,FOODS_1_015,FOODS,FOODS_1,CA_2,CA,2011-04-09,2011-04-09,2016-04-24,1842,0,3.16,3.48,2.44,1.04,Active
FOODS_1_015_CA_3,FOODS_1_015,FOODS,FOODS_1,CA_3,CA,2011-04-16,2011-04-16,2016-04-24,1835,0,3.03,3.48,2.44,1.04,Active
FOODS_1_015_CA_4,FOODS_1_015,FOODS,FOODS_1,CA_4,CA,2011-04-09,2011-04-15,2016-04-24,1842,0,3.22,3.48,2.44,1.04,Active
FOODS_1_015_TX_1,FOODS_1_015,FOODS,FOODS_1,TX_1,TX,2011-04-16,2011-04-16,2016-04-20,1835,4,3.19,3.48,2.44,1.04,Active
FOODS_1_015_TX_2,FOODS_1_015,FOODS,FOODS_1,TX_2,TX,2011-04-09,2011-04-11,2016-04-16,1842,8,3.21,3.48,2.44,1.04,Active
FOODS_1_015_TX_3,FOODS_1_015,FOODS,FOODS_1,TX_3,TX,2011-04-30,2011-05-02,2016-04-24,1821,0,3.22,3.48,2.44,1.04,Active
FOODS_1_015_WI_1,FOODS_1_015,FOODS,FOODS_1,WI_1,WI,2011-04-09,2011-04-15,2016-04-24,1842,0,3.2,3.48,2.44,1.04,Active
FOODS_1_015_WI_2,FOODS_1_015,FOODS,FOODS_1,WI_2,WI,2011-04-02,2011-04-08,2016-04-24,1849,0,3.23,3.48,2.44,1.04,Active
FOODS_1_015_WI_3,FOODS_1_015,FOODS,FOODS_1,WI_3,WI,2011-04-09,2011-04-12,2016-04-24,1842,0,3.21,3.48,2.44,1.04,Active
FOODS_1_016_CA_1,FOODS_1_016,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.07,2.26,1.58,0.68,Active
FOODS_1_016_CA_2,FOODS_1_016,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.07,2.26,1.58,0.68,Active
FOODS_1_016_CA_3,FOODS_1_016,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-17,1912,7,2.07,2.26,1.58,0.68,Active
FOODS_1_016_CA_4,FOODS_1_016,FOODS,FOODS_1,CA_4,CA,2011-04-16,2011-04-17,2016-04-24,1835,0,2.08,2.26,1.58,0.68,Active
FOODS_1_016_TX_1,FOODS_1_016,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-02-04,2016-04-09,1912,15,2.07,2.26,1.58,0.68,Active
FOODS_1_016_TX_2,FOODS_1_016,FOODS,FOODS_1,TX_2,TX,2011-04-30,2011-05-05,2016-04-23,1821,1,2.08,2.26,1.58,0.68,Active
FOODS_1_016_TX_3,FOODS_1_016,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-30,2016-04-24,1912,0,2.07,2.26,1.58,0.68,Active
FOODS_1_016_WI_1,FOODS_1_016,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-29,2016-04-21,1912,3,2.07,2.26,1.58,0.68,Active
FOODS_1_016_WI_2,FOODS_1_016,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-30,2016-04-22,1912,2,2.07,2.26,1.58,0.68,Active
FOODS_1_016_WI_3,FOODS_1_016,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-01-29,2016-04-23,1912,1,2.07,2.26,1.58,0.68,Active
FOODS_1_017_CA_1,FOODS_1_017,FOODS,FOODS_1,CA_1,CA,2012-03-10,2012-03-10,2016-04-24,1506,0,2.36,2.68,1.88,0.8,Active
FOODS_1_017_CA_2,FOODS_1_017,FOODS,FOODS_1,CA_2,CA,2012-03-03,2012-03-05,2016-04-24,1513,0,2.36,2.79,1.95,0.84,Active
FOODS_1_017_CA_3,FOODS_1_017,FOODS,FOODS_1,CA_3,CA,2012-03-10,2012-03-15,2016-04-24,1506,0,2.28,2.68,1.88,0.8,Active
FOODS_1_017_CA_4,FOODS_1_017,FOODS,FOODS_1,CA_4,CA,2012-03-10,2012-03-11,2016-04-24,1506,0,2.37,2.68,1.88,0.8,Active
FOODS_1_017_TX_1,FOODS_1_017,FOODS,FOODS_1,TX_1,TX,2012-03-10,2012-03-15,2016-04-24,1506,0,2.33,2.68,1.88,0.8,Active
FOODS_1_017_TX_2,FOODS_1_017,FOODS,FOODS_1,TX_2,TX,2012-03-10,2012-03-13,2016-04-23,1506,1,2.31,2.68,1.88,0.8,Active
