date,sku_id,opening_stock,units_sold,fulfilled_units,lost_sales_units,received_stock,order_placed_units,on_hand_units,reorder_point,reorder_quantity,on_order_units,lead_time_days,target_stock,inventory_status,estimated_inventory_value,days_of_supply,avg_weekly_forecast_rate,lead_time_demand,forward_window_demand,available_position,stockout_risk_score,overstock_risk_score,quadrant,recommended_action,unit_cost,list_price,stockout_value_at_risk,overstock_value_at_risk,estimated_value_at_stake
2016-04-24,FOODS_1_002_WI_1,17,0,0,0,0,0,17,7,24,0,5,12,Healthy,112.88,22.6,7.447746661244116,5.319819043745797,59.58197328995293,17,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
2016-04-24,FOODS_1_002_WI_2,6,0,0,0,0,0,6,3,10,0,5,5,Healthy,39.84,18.2,3.3053368832542946,2.3609549166102104,26.442695066034357,6,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.99,0.0,0.0,0.0
2016-04-24,FOODS_1_002_WI_3,9,0,0,0,0,0,9,3,12,0,5,6,Overstock,59.76,26.9,1.1885777599852145,0.8489841142751533,9.508622079881716,9,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
2016-04-24,FOODS_1_003_CA_1,20,0,0,0,0,0,20,7,26,0,5,13,Overstock,45.2,24.0,5.235054769924478,3.7393248356603412,41.88043815939582,20,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.98,0.0,0.0,0.0
2016-04-24,FOODS_1_003_CA_2,18,3,3,0,0,0,15,14,50,0,5,25,Healthy,33.9,9.1,6.751665198400105,4.822617998857218,54.01332158720084,15,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.98,0.0,0.0,0.0
2016-04-24,FOODS_1_003_CA_3,5,0,0,0,0,0,5,9,32,32,5,16,Low Stock,11.3,4.8,4.544619646051829,3.2461568900370206,36.35695716841463,37,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.98,0.0,0.0,0.0
2016-04-24,FOODS_1_003_CA_4,14,0,0,0,0,0,14,4,16,0,5,8,Overstock,31.64,29.3,1.6413082152808371,1.1723630109148837,13.130465722246697,14,0.0,0.06210959126809306,Healthy,No action needed; leave as is.,2.26,2.98,0.0,1.9651474677224643,1.9651474677224643
2016-04-24,FOODS_1_003_TX_1,12,0,0,0,0,0,12,4,14,0,5,7,Overstock,27.12,26.2,1.6366798974123458,1.169057069580247,13.093439179298766,12,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.97,0.0,0.0,0.0
2016-04-24,FOODS_1_003_TX_2,13,0,0,0,0,0,13,4,14,0,5,7,Overstock,29.38,30.9,2.1857381364336153,1.561241526024011,17.485905091468922,13,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.98,0.0,0.0,0.0
2016-04-24,FOODS_1_003_TX_3,6,0,0,0,0,0,6,2,6,0,5,3,Overstock,13.56,39.4,1.3706628696338434,0.9790449068813167,10.965302957070747,6,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.97,0.0,0.0,0.0
2016-04-24,FOODS_1_003_WI_1,39,2,2,0,0,0,37,11,38,0,5,19,Overstock,83.62,29.4,8.016273477052206,5.725909626465861,64.13018781641765,37,0.0,0.0,Healthy,No action needed; leave as is.,2.26,2.98,0.0,0.0,0.0
2016-04-24,FOODS_1_003_WI_2,13,0,0,0,0,0,13,3,12,0,5,6,Overstock,29.38,35.1,0.0003316820751094875,0.0002369157679353482,0.0026534566008759,13,0.0,0.9997958879537787,Markdown / Clear,Promote or discount to free up capital.,2.26,2.97,0.0,29.374003188082018,29.374003188082018
2016-04-24,FOODS_1_003_WI_3,13,0,0,0,0,0,13,3,12,0,5,6,Overstock,29.38,36.6,1.5426358528867183,1.1018827520619416,12.341086823093747,13,0.0,0.050685628992788716,Healthy,No action needed; leave as is.,2.26,2.98,0.0,1.4891437798081322,1.4891437798081322
2016-04-24,FOODS_1_004_CA_1,293,0,0,0,0,0,293,67,248,0,5,124,Overstock,401.41,35.5,1.8233077049632835,1.3023626464023454,14.586461639706268,293,0.0,0.9502168544719922,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,381.42654755360246,381.42654755360246
2016-04-24,FOODS_1_004_CA_2,105,0,0,0,0,0,105,45,168,0,5,84,Healthy,143.85,19.0,0.5670926117173671,0.4050661512266908,4.536740893738937,105,0.0,0.956792943869153,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,137.63466497557766,137.63466497557766
2016-04-24,FOODS_1_004_CA_3,230,0,0,0,0,0,230,74,276,0,5,138,Overstock,315.1,25.1,5.973386907387361,4.266704933848115,47.78709525909889,230,0.0,0.7922300206126135,Markdown / Clear,Promote or discount to free up capital.,1.37,1.83,0.0,249.63167949503455,249.63167949503455
2016-04-24,FOODS_1_004_CA_4,34,0,0,0,0,0,34,16,60,0,5,30,Healthy,46.58,17.5,1.1126934858304005,0.794781061307429,8.901547886643204,34,0.0,0.7381897680399058,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,34.38487939529881,34.38487939529881
2016-04-24,FOODS_1_004_TX_1,114,0,0,0,0,0,114,46,170,0,5,85,Healthy,156.18,20.2,4.84092733452945,3.4578052389496072,38.7274186762356,114,0.0,0.6602858010856526,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,103.12343641355723,103.12343641355723
2016-04-24,FOODS_1_004_TX_2,157,0,0,0,0,0,157,55,206,0,5,103,Overstock,215.09,23.1,0.42870700343356044,0.3062192881668289,3.4296560274684835,157,0.0,0.9781550571498822,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,210.39137124236817,210.39137124236817
2016-04-24,FOODS_1_004_TX_3,173,0,0,0,0,0,173,53,196,0,5,98,Overstock,237.01,26.6,11.211697293602189,8.00835520971585,89.69357834881751,173,0.0,0.48154000954440745,Healthy,No action needed; leave as is.,1.37,1.85,0.0,114.12979766212003,114.12979766212003
2016-04-24,FOODS_1_004_WI_1,212,0,0,0,0,0,212,57,212,0,5,106,Overstock,290.44,30.2,1.6711762860471207,1.1936973471765149,13.369410288376965,212,0.0,0.9369367439227502,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,272.12390790492356,272.12390790492356
2016-04-24,FOODS_1_004_WI_2,335,0,0,0,0,0,335,79,294,0,5,147,Overstock,458.95,34.3,21.102450024078085,15.073178588627204,168.81960019262468,335,0.0,0.49606089494738903,Healthy,No action needed; leave as is.,1.37,1.85,0.0,227.6671477361042,227.6671477361042
2016-04-24,FOODS_1_004_WI_3,211,0,0,0,0,0,211,57,212,0,5,106,Overstock,289.07,30.1,0.4997990565553031,0.35699932611093077,3.998392452442425,211,0.0,0.9810502727372397,Markdown / Clear,Promote or discount to free up capital.,1.37,1.85,0.0,283.5922023401539,283.5922023401539
2016-04-24,FOODS_1_005_CA_1,2,1,1,0,0,0,1,10,36,36,5,18,Low Stock,2.48,0.9,9.488327746108531,6.777376961506094,75.90662196886825,37,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_CA_2,35,1,1,0,0,0,34,25,92,0,5,46,Healthy,84.32,11.2,28.147938644084977,20.105670460060697,225.18350915267982,34,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_CA_3,49,1,1,0,0,0,48,16,58,0,5,29,Overstock,119.04,25.3,24.570709095007807,17.55050649643415,196.56567276006245,48,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.27,0.0,0.0,0.0
2016-04-24,FOODS_1_005_CA_4,15,0,0,0,0,0,15,4,16,0,5,8,Overstock,37.2,31.8,3.3290313782837364,2.3778795559169548,26.63225102626989,15,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_TX_1,9,0,0,0,0,0,9,6,22,0,5,11,Healthy,22.32,12.9,4.511975090461317,3.2228393503295125,36.09580072369054,9,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_TX_2,9,1,1,0,0,0,8,9,32,32,5,16,Low Stock,19.84,7.5,8.374958655892078,5.982113325637199,66.99966924713662,40,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.32,0.0,0.0,0.0
2016-04-24,FOODS_1_005_TX_3,22,2,2,0,0,0,20,8,28,0,5,14,Healthy,49.6,22.4,6.88128969710985,4.915206926507036,55.0503175768788,20,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_WI_1,0,1,1,0,32,0,31,9,32,0,5,16,Overstock,76.88,30.3,19.28002658899606,13.771447563568614,154.24021271196847,31,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_005_WI_2,24,0,0,0,0,0,24,8,28,0,5,14,Overstock,59.52,27.1,24.980358826375834,17.843113447411312,199.84287061100667,24,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.36,0.0,0.0,0.0
2016-04-24,FOODS_1_005_WI_3,16,2,2,0,0,0,14,7,26,0,5,13,Healthy,34.72,16.4,14.713787618995951,10.509848299282822,117.71030095196761,14,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.34,0.0,0.0,0.0
2016-04-24,FOODS_1_006_CA_1,30,2,2,0,0,0,28,13,46,0,5,23,Healthy,48.72,18.6,12.789519312447613,9.13537093746258,102.3161544995809,28,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_CA_2,21,1,1,0,0,0,20,11,42,0,5,21,Healthy,34.8,14.9,5.121754082730674,3.658395773379053,40.97403266184539,20,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_CA_3,59,0,0,0,0,0,59,13,50,0,5,25,Overstock,102.66,36.7,10.944840592939775,7.817743280671268,87.5587247435182,59,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_CA_4,37,1,1,0,0,0,36,9,32,0,5,16,Overstock,62.64,35.7,10.525946634289156,7.51853331020654,84.20757307431325,36,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_TX_1,11,0,0,0,0,0,11,5,16,0,5,8,Healthy,19.14,21.1,3.339833106599548,2.3855950761425344,26.718664852796383,11,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_TX_2,5,0,0,0,0,0,5,6,22,22,5,11,Low Stock,8.7,7.3,4.33660412732945,3.0975743766638932,34.6928330186356,27,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_TX_3,15,2,2,0,0,0,13,8,28,0,5,14,Healthy,22.62,14.3,4.116619036191611,2.9404421687082936,32.932952289532885,13,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_WI_1,24,1,1,0,0,0,23,14,52,0,5,26,Healthy,40.02,13.6,10.369508463033691,7.40679175930978,82.95606770426953,23,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_WI_2,36,0,0,0,0,0,36,10,38,0,5,19,Overstock,62.64,29.4,8.447497861484528,6.0339270439175205,67.57998289187623,36,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_006_WI_3,7,0,0,0,0,0,7,10,36,36,5,18,Low Stock,12.18,6.0,6.583524530758675,4.702517521970482,52.6681962460694,43,0.0,0.0,Healthy,No action needed; leave as is.,1.74,2.22,0.0,0.0,0.0
2016-04-24,FOODS_1_008_CA_1,4,0,0,0,0,0,4,2,8,0,5,4,Healthy,9.92,17.2,2.5330984946592343,1.8093560676137388,20.264787957273874,4,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.38,0.0,0.0,0.0
2016-04-24,FOODS_1_008_CA_2,3,2,2,0,0,4,1,1,4,4,5,2,Low Stock,2.48,14.6,1.7372862179430966,1.240918727102212,13.898289743544773,5,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.36,0.0,0.0,0.0
2016-04-24,FOODS_1_008_CA_3,10,0,0,0,0,0,10,2,8,0,5,4,Overstock,24.8,44.0,1.985374307669829,1.4181245054784493,15.882994461358631,10,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.33,0.0,0.0,0.0
2016-04-24,FOODS_1_008_CA_4,8,1,1,0,0,0,7,3,10,0,5,5,Healthy,17.36,25.9,1.437282841993721,1.0266306014240865,11.498262735949767,7,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.35,0.0,0.0,0.0
2016-04-24,FOODS_1_008_TX_1,2,0,0,0,0,0,2,1,4,0,5,2,Healthy,4.96,24.7,0.7887584724457157,0.5633989088897969,6.310067779565726,2,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.35,0.0,0.0,0.0
2016-04-24,FOODS_1_008_TX_2,4,0,0,0,0,0,4,2,6,0,5,3,Healthy,9.92,29.5,1.7547488748264244,1.253392053447446,14.037990998611395,4,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.39,0.0,0.0,0.0
2016-04-24,FOODS_1_008_TX_3,4,0,0,0,0,0,4,1,4,0,5,2,Overstock,9.92,35.1,1.275645703648173,0.9111755026058379,10.205165629185384,4,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.32,0.0,0.0,0.0
2016-04-24,FOODS_1_008_WI_1,12,0,0,0,0,0,12,4,14,0,5,7,Overstock,29.76,26.6,3.337173154593162,2.3836951104236874,26.697385236745298,12,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.35,0.0,0.0,0.0
2016-04-24,FOODS_1_008_WI_2,3,1,1,0,0,8,2,2,8,8,5,4,Low Stock,4.96,8.1,2.9416212744271526,2.101158053162252,23.53297019541722,10,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.35,0.0,0.0,0.0
2016-04-24,FOODS_1_008_WI_3,3,0,0,0,0,0,3,2,8,0,5,4,Healthy,7.44,12.8,1.214809955123889,0.8677213965170635,9.718479640991111,3,0.0,0.0,Healthy,No action needed; leave as is.,2.48,3.35,0.0,0.0,0.0
2016-04-24,FOODS_1_009_CA_1,14,0,0,0,0,0,14,4,14,0,5,7,Overstock,26.32,30.2,3.034105347621075,2.167218105443625,24.2728427809686,14,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.4,0.0,0.0,0.0
2016-04-24,FOODS_1_009_CA_2,10,0,0,0,0,0,10,6,20,0,5,10,Healthy,18.8,15.1,2.6205883621299226,1.871848830092802,20.96470689703938,10,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.4,0.0,0.0,0.0
2016-04-24,FOODS_1_009_CA_3,19,0,0,0,0,0,19,8,28,0,5,14,Healthy,35.72,21.1,3.6748266690848213,2.624876192203444,29.39861335267857,19,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.32,0.0,0.0,0.0
2016-04-24,FOODS_1_009_CA_4,10,0,0,0,0,0,10,3,10,0,5,5,Overstock,18.8,34.5,1.8875477234066254,1.3482483738618753,15.100381787253003,10,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.4,0.0,0.0,0.0
2016-04-24,FOODS_1_009_TX_1,8,0,0,0,0,0,8,2,8,0,5,4,Overstock,15.04,36.8,1.0069171104228276,0.7192265074448769,8.05533688338262,8,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.38,0.0,0.0,0.0
2016-04-24,FOODS_1_009_TX_2,10,0,0,0,0,0,10,2,8,0,5,4,Overstock,18.8,41.7,0.3136695521597656,0.2240496801141183,2.509356417278125,10,0.0,0.7490643582721874,Markdown / Clear,Promote or discount to free up capital.,1.88,2.38,0.0,14.082409935517124,14.082409935517124
2016-04-24,FOODS_1_009_TX_3,8,0,0,0,0,0,8,2,6,0,5,3,Overstock,15.04,50.2,1.2930759854752578,0.9236257039108985,10.344607883802063,8,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.39,0.0,0.0,0.0
2016-04-24,FOODS_1_009_WI_1,15,0,0,0,0,0,15,3,12,0,5,6,Overstock,28.2,44.1,1.4555455365122683,1.0396753832230488,11.644364292098146,15,0.0,0.22370904719345694,Healthy,No action needed; leave as is.,1.88,2.39,0.0,6.308595130855485,6.308595130855485
2016-04-24,FOODS_1_009_WI_2,3,0,0,0,0,0,3,2,8,0,5,4,Healthy,5.64,12.8,1.7829084197388696,1.2735060140991925,14.263267357910957,3,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.42,0.0,0.0,0.0
2016-04-24,FOODS_1_009_WI_3,10,1,1,0,0,0,9,2,8,0,5,4,Overstock,16.92,40.3,0.7734827433785084,0.5524876738417918,6.187861947028067,9,0.0,0.3124597836635481,Healthy,No action needed; leave as is.,1.88,2.4,0.0,5.286819539587233,5.286819539587233
2016-04-24,FOODS_1_010_CA_1,6,0,0,0,0,0,6,2,6,0,5,3,Overstock,23.7,36.1,1.562305595713993,1.115932568367138,12.498444765711945,6,0.0,0.0,Healthy,No action needed; leave as is.,3.95,5.37,0.0,0.0,0.0
2016-04-24,FOODS_1_010_CA_2,6,0,0,0,0,0,6,3,8,0,5,4,Overstock,25.56,23.4,2.7837502898283426,1.9883930641631018,22.27000231862674,6,0.0,0.0,Healthy,No action needed; leave as is.,4.26,5.49,0.0,0.0,0.0
2016-04-24,FOODS_1_010_CA_3,10,2,2,0,0,0,8,3,10,0,5,5,Overstock,34.08,28.3,3.5416651491068007,2.529760820790572,28.333321192854406,8,0.0,0.0,Healthy,No action needed; leave as is.,4.26,5.56,0.0,0.0,0.0
2016-04-24,FOODS_1_010_CA_4,5,1,1,0,0,0,4,2,6,0,5,3,Healthy,17.04,21.5,0.0007096019156965125,0.0005068585112117946,0.0056768153255721,4,0.0,0.998580796168607,Markdown / Clear,Promote or discount to free up capital.,4.26,5.5,0.0,17.015816766713062,17.015816766713062
2016-04-24,FOODS_1_010_TX_1,4,0,0,0,0,0,4,2,8,0,5,4,Healthy,18.8,17.5,2.2365267166872953,1.5975190833480681,17.892213733498362,4,0.0,0.0,Healthy,No action needed; leave as is.,4.7,6.01,0.0,0.0,0.0
2016-04-24,FOODS_1_010_TX_2,11,1,1,0,0,0,10,3,12,0,5,6,Overstock,43.9,29.0,7.1282178588074,5.091584184862429,57.0257428704592,10,0.0,0.0,Healthy,No action needed; leave as is.,4.39,5.94,0.0,0.0,0.0
2016-04-24,FOODS_1_010_TX_3,8,0,0,0,0,0,8,6,22,0,5,11,Healthy,37.6,11.3,4.928773211025589,3.5205522935897062,39.43018568820471,8,0.0,0.0,Healthy,No action needed; leave as is.,4.7,5.95,0.0,0.0,0.0
2016-04-24,FOODS_1_010_WI_1,7,2,2,0,0,16,5,5,16,16,5,8,Low Stock,25.45,9.8,9.508492349069206,6.791780249335147,76.06793879255365,21,0.0,0.0,Healthy,No action needed; leave as is.,5.09,6.97,0.0,0.0,0.0
2016-04-24,FOODS_1_010_WI_2,10,0,0,0,0,0,10,3,10,0,5,5,Overstock,50.9,32.4,2.2099939695241204,1.5785671210886574,17.679951756192963,10,0.0,0.0,Healthy,No action needed; leave as is.,5.09,6.97,0.0,0.0,0.0
2016-04-24,FOODS_1_010_WI_3,3,3,3,0,0,6,0,2,6,6,5,3,Stockout,0.0,0.0,5.952794833411279,4.251996309579485,47.62235866729023,6,0.0,0.0,Healthy,No action needed; leave as is.,5.09,7.01,0.0,0.0,0.0
2016-04-24,FOODS_1_011_CA_1,2,1,1,0,0,0,1,5,20,20,5,10,Low Stock,1.88,1.6,9.319684239047984,6.656917313605703,74.55747391238387,21,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_CA_2,2,1,1,0,0,0,1,13,50,50,5,25,Low Stock,1.88,0.6,17.524580563231723,12.517557545165516,140.19664450585378,51,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.53,0.0,0.0,0.0
2016-04-24,FOODS_1_011_CA_3,23,2,2,0,0,0,21,7,26,0,5,13,Overstock,39.48,25.1,7.458480643549413,5.327486173963866,59.6678451483953,21,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.48,0.0,0.0,0.0
2016-04-24,FOODS_1_011_CA_4,7,1,1,0,0,0,6,3,10,0,5,5,Healthy,11.28,18.6,6.747599031546545,4.819713593961818,53.98079225237236,6,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_TX_1,7,2,2,0,0,0,5,4,16,0,5,8,Healthy,9.4,10.4,4.936087153536051,3.5257765382400366,39.48869722828841,5,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_TX_2,4,0,0,0,0,0,4,3,10,0,5,5,Healthy,7.52,12.2,3.4818985550026293,2.4870703964304495,27.855188440021035,4,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_TX_3,6,0,0,0,0,0,6,2,6,0,5,3,Overstock,11.28,33.8,1.5948782498163472,1.1391987498688194,12.759025998530777,6,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_WI_1,13,0,0,0,0,0,13,4,14,0,5,7,Overstock,24.44,29.2,6.586467617356924,4.704619726683517,52.69174093885539,13,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.53,0.0,0.0,0.0
2016-04-24,FOODS_1_011_WI_2,9,0,0,0,0,0,9,3,10,0,5,5,Overstock,16.92,28.6,5.042504794055055,3.6017891386107532,40.34003835244044,9,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,FOODS_1_011_WI_3,4,0,0,0,0,0,4,2,6,0,5,3,Healthy,7.52,23.9,1.3001360969110412,0.9286686406507437,10.40108877528833,4,0.0,0.0,Healthy,No action needed; leave as is.,1.88,2.52,0.0,0.0,0.0
2016-04-24,HOBBIES_1_001_CA_1,0,1,1,0,10,0,9,3,10,0,5,5,Overstock,60.39,28.7,6.082935664972001,4.3449540464085725,48.66348531977601,9,0.0,0.0,Healthy,No action needed; leave as is.,6.71,8.29,0.0,0.0,0.0
2016-04-24,HOBBIES_1_001_CA_2,0,2,0,2,0,0,0,3,10,10,5,5,Stockout,0.0,0.0,4.456274625224349,3.183053303731678,35.650197001794794,10,0.0,0.0,Healthy,No action needed; leave as is.,5.87,8.27,0.0,0.0,0.0
